id_str,Tweet,Positivo
38,RT @1899barsa: Sigo llorando 😭😭 @anaalthani #MálagaValencia https://t.co/TifFp7SSbn,1.0
1,Con S Mina de revulsivo🔥 https://t.co/dz3d9eC3Bm,1.0
3,You don’t see this often!! 🦇 https://t.co/CkIiZfNwxV,1.0
28,The Man!!! VAMOS https://t.co/Rkr1uz9hvc,1.0
5,"RT @LaLiga: Si eres del @valenciacf, te vas a emocionar... 😍😢

En 2002, el equipo che vencía en La Rosaleda con goles de Ayala y Fábio Auré…",1.0
16,RT @sergiollorens: #MalagaValencia Los @arbitrosrfef son los peores de Europa. Malos de solemnidad. Habría que cambiarlos a todos.,1.0
33,"No digo que no sea falta la de que hubiera sido el 2.0 del #Málaga al #Valencia. Pero si hubiera sido al revés, la… https://t.co/kyf6t3wxBE",1.0
26,"RT @valenciacf: 1-2 | 83' ⏱️ | ¡GOOOOOOOL GOOOOOOOL GOOOOOOOL DE @DaniParejo! ¡GOOOOOOOOOOOOOOOOOOOOOOOOOOL! 

#MálagaValencia https://t.co…",1.0
7,"RT @LaLiga: ¡El @MalagaCF de Pellegrini enamoraba a La Rosaleda! 💙

#MálagaValencia https://t.co/byhEH2ZQNr",1.0
32,RT @Solerismo: SE ME HA PUESTO COMO UN TANQUE APUNTANDO A UN CAMPANARIO. https://t.co/MIc2UHUK4r,1.0
35,RT @eromzy: What! Coquelin scored for Valencia? And in 100 years he never scored for us. Damn it. https://t.co/zLUuWKta1F,1.0
30,#MalagaValencia. Que poca vergüenza de arbitro..Otro partido que se han cargado ..Claro tenia que ganar el Valencia… https://t.co/rcpcm7yURz,1.0
21,"Earthquake in Heath, Cow scoring. Welcome to Armageddon https://t.co/wuG4VT1q66",1.0
13,"Puto @valenciacf que nos haces padecer, estoy más nervioso en 5 minutos que en todo el partido
#MálagaValencia",1.0
8,"RT @valenciacf: 1-1 | 79' ⏱️ | ¡GOOOOOOOOOL GOOOOOOOOOL GOOOOOOOOOOOOL DE COQUEEELIN!

#MálagaValencia https://t.co/5jegRmP04f",1.0
22,👀👀👀 https://t.co/F8uRfGawA0,1.0
11,90' | 1-2 | Falta amb perill per la València #MálagaValencia #ElPartitPuntoPenalti @puntopenaltiVLC,1.0
4,5 minutos mas???...se ha pasado muuucho el árbitro... Amunt #ValenciaCF #MalagaValencia,1.0
18,"RT @ESbeINSPORTS: Gooooooooool del @valenciacf, goooooooooooool de Coquelin que le da el empate a 10 minutos del final #MálagaValencia http…",1.0
10,"RT @valenciacf: 1-2 | 90' ⏱️ | Se añaden 5 minutos. 

#MálagaValencia",1.0
24,Me va a hacer el Fantasy el solo https://t.co/9Nh2WR1tJt,1.0
25,"RT @LaLigaEN: Nigeria Super Eagle @OfficialIdeye scores his first goal for @MalagaCF_en in #LaLiga! 🇳🇬⚽

#MalagaValencia https://t.co/mVPop…",1.0
27,YESSSSSSSSS https://t.co/vPZjD51kPS,1.0
34,"RT @valenciacf_vale: 1-2 | 83' ⏱️ | ¡GOOOOOOOL GOOOOOOOL GOOOOOOOL DE @DaniParejo! GOOOOOOOOOOOOOOOOOOOOOOOOOOL! 

#MálagaValencia https://…",1.0
40,What https://t.co/hO5fEh2GiN,1.0
17,Vaya 3 puntos importantísimos (si nos los acabamos llevando hoy). #MalagaValencia #Amunt,1.0
39,RT @AubaSprint: Pogba is poor mans Coquelin https://t.co/jeP2K0hOJy,1.0
29,#MalagaValencia No sería más fácil para los árbitros de la liga fusilar a los jugadores del Málaga y así terminaban antes?,1.0
44,😂 https://t.co/OqJtK577yk,1.0
41,Las caritas de los aficionados del Málaga son un poema. Todo lo contrario q cuando pierden con el Madrid. Ese día n… https://t.co/kQuI8GbarB,1.0
6,"RT @valenciacf: ¡Así da gusto, qué bonita eres Málaga! 🙋‍♂️🤟

#MálagaValencia https://t.co/YZDI6T96zF",1.0
9,Gol de Parejo de penalti en los últimos diez minutos. Da igual cuando leas esto. https://t.co/PUqIpchydU,1.0
14,"RT @valenciacf_en: 1-1 | 80' | GOOOOOOOOAL! COQUELIN MAKES IT 1-1! GET IN!

#MálagaValencia https://t.co/R2T3GtMOS4",1.0
31,Los galones y un penalti que no se dio de cometer sentencia al @MalagaCF 1-2 #MalagaValencia #LaLigaSantander,1.0
19,"RT @sarahhandleyx: Need to see how he celebrated this asap, always imagined him self combusting if he had scored at arsenal https://t.co/F9…",1.0
12,Coquelin scores an actual goal! https://t.co/QZQWyCRlRx,1.0
43,"RT @28_baeza: El segundo gol del Málaga era totalmente legal. Segunda semana consecutiva que los árbitros os llevan de la mano pero claro,…",1.0
15,SUUUIIIIIIIIIIII https://t.co/mD9arIQVWR,1.0
23,SE ME HA PUESTO COMO UN TANQUE APUNTANDO A UN CAMPANARIO. https://t.co/MIc2UHUK4r,1.0
42,"RT @ESbeINSPORTS: Goooooooooooool del @valenciacf, goooooooool de @daniparejo de penalti, Ignasi Miquel se fue expulsado por cometer el pen…",1.0
20,How I wanted to watch him celebrate his first Arsenal goal https://t.co/0jwE4xaVHD,1.0
36,nah I don’t believe this. this man in 8 years did not score 1 damn goal for Arsenal. https://t.co/Oa4mY3gTFl,1.0
2,90' | 1-2 | Toca ara el València i controla la pilota #MálagaValencia #ElPartitPuntoPenalti @puntopenaltiVLC,1.0
37,😭😭😭😭😭😭 https://t.co/e9x9sUy3R7,1.0
